Date,Close,High,Low,Open,Volume,Daily Return,MA7,Volatility,Sentiment,52W High,52W Low
2025-10-01,965.25,969.5999755859376,946.0,952.7000122070312,25350832,0.013173074033971475,,,,,
2025-10-03,965.1500244140624,966.75,952.0,952.0,26658296,0.01381305085510755,,,,,
2025-10-06,973.4500122070312,977.4000244140624,962.0,971.9000244140624,18542683,0.0015948016812771643,,,,,
2025-10-07,982.5,989.8499755859376,971.0,974.0,25535736,0.008726899383983572,,,,,
2025-10-08,978.7000122070312,985.9000244140624,974.5499877929688,976.0,15939710,0.0027664059498271,,,,,
2025-10-09,977.0999755859376,979.0,970.1500244140624,974.5,15370950,0.0026680098367753862,,,,,
2025-10-10,980.9000244140624,986.2000122070312,978.0999755859376,979.0,13757080,0.0019407808110953894,974.721435546875,7.107555486948958,-6.913477405839419,,
2025-10-13,977.0,981.0,972.0,974.2999877929688,18634254,0.002771232927085884,976.4000069754464,5.757091574210486,-5.479968281501898,,
2025-10-14,977.1500244140624,980.4500122070312,967.0,970.0,22934382,0.007371159189755038,978.1142926897321,2.9522197952960183,-2.2151038763205144,,
2025-10-15,978.25,984.9000244140624,973.3499755859376,975.0,23310447,0.0033333333333333335,978.8000052315848,2.131709116366588,-1.7983757830332547,,
2025-10-16,994.3499755859376,996.5999755859376,981.5,982.6500244140624,22936566,0.011906529162151815,980.4928588867188,6.262540017062411,-5.0718871008472295,,
2025-10-17,1002.5499877929688,1009.0,986.0,993.9500122070312,25210511,0.008652322028591312,983.8999982561384,10.306623197272735,-9.441390994413604,,
2025-10-20,1002.9500122070312,1020.0,997.0,997.0,22195202,0.005967915954895938,987.5928606305804,11.962169438005688,-11.365377842516095,,
2025-10-21,1007.7000122070312,1010.0,1004.0,1006.0,3471600,0.0016898729692159543,991.4214303152902,13.634874727842973,-13.465887430921377,,
2025-10-23,1008.7999877929688,1020.5,1006.0,1016.0,43526526,-0.007086626188022884,995.9642857142857,13.323117218433723,-14.03177983723601,,
2025-10-24,994.75,1011.9500122070312,991.2999877929688,1011.0,17707768,-0.016073194856577645,998.4785679408482,10.55366816337593,-12.160987649033695,,
2025-10-27,1002.9500122070312,1009.0499877929688,996.2000122070312,996.5,15700796,0.0064726665399209736,1002.0071411132812,5.655712785486467,-5.00844613149437,,
2025-10-28,1003.5499877929688,1008.0,995.0,997.6500244140624,33904289,0.00591386080742244,1003.3214285714286,4.538341363260162,-3.9469552825179184,,
2025-10-29,1007.8499755859376,1012.5,1000.0,1004.9000244140624,17769445,0.0029355668227745205,1004.0785696847098,4.821462995586679,-4.527906313309227,,
2025-10-30,998.1500244140624,1009.5,997.0999755859376,1000.0,19962917,-0.0018499755859376138,1003.3928571428571,5.3238712062148945,-5.508868764808656,,
2025-10-31,987.2999877929688,1004.4500122070312,981.1500244140624,994.0,23221330,-0.006740454936651157,1000.4785679408482,7.64895326191001,-8.322998755575126,,
2025-11-03,992.6500244140624,994.5499877929688,983.2999877929688,985.0,16607180,0.007766522247779072,998.1714303152902,7.13931361371618,-6.362661388938273,,
2025-11-04,985.25,997.0,983.7000122070312,987.0,20024544,-0.0017730496453900709,996.8142874581473,8.642753343096313,-8.82005830763532,,
2025-11-06,984.6500244140624,991.0499877929688,974.0,981.0,22279516,0.003720718057148202,994.2000034877232,9.225543566308366,-8.853471760593546,,
2025-11-07,982.2999877929688,984.9000244140624,974.75,980.0,15004568,0.0023469263193558673,991.164289202009,9.131841389872738,-8.89714875793715,,
2025-11-10,984.5,990.9500122070312,980.2000122070312,982.2999877929688,15988262,0.002239654112155938,987.8285784040179,5.604388426181549,-5.380423014965955,,
2025-11-11,991.7000122070312,993.5,978.0,983.5,10200530,0.008337582315232588,986.9071480887277,3.893745689358891,-3.059987457835632,,
2025-11-12,989.5,999.0,987.7000122070312,998.7999877929688,13137263,-0.009311161300190616,987.221435546875,4.017558435926923,-4.948674565945985,,
2025-11-13,986.6500244140624,990.0999755859376,982.5999755859376,984.0,14124839,0.0026931142419333192,986.3642926897321,3.229002197981562,-2.95969077378823,,
2025-11-14,989.5999755859376,991.6500244140624,976.0499877929688,976.0499877929688,21386965,0.01388247319546401,986.9857177734375,3.3932173236035013,-2.0049700040571,,
2025-11-17,996.5499877929688,997.9500122070312,985.5999755859376,991.25,18396408,0.005346772048392181,988.6857125418527,4.741192973648083,-4.206515768808865,,
2025-11-18,992.4500122070312,999.0,990.0,997.6500244140624,20002640,-0.0052122608928769345,990.1357160295759,3.948593958193812,-4.469820047481505,,
2025-11-19,994.5999755859376,996.5499877929688,984.0,990.0,19813847,0.00464643998579557,991.5785696847098,3.345242816541216,-2.880598817961659,,
2025-11-20,1008.8499755859376,1011.5999755859376,992.4500122070312,995.2999877929688,19850865,0.013613973635240697,994.028564453125,7.341812786721797,-5.980415423197727,,
2025-11-21,998.0499877929688,1008.2999877929688,996.5499877929688,1003.0999755859376,17499897,-0.005034381333743957,995.2499912806919,7.172099357673698,-7.675537491048094,,
2025-11-24,999.1500244140624,1011.4500122070312,993.5999755859376,1000.0,32204053,-0.0008499755859376136,997.0357055664062,6.158509762121752,-6.243507320715513,,
2025-11-25,989.7999877929688,1006.0999755859376,988.4000244140624,1004.0,24989383,-0.014143438453218377,997.0642787388393,6.118595581122806,-7.532939426444644,,
2025-11-26,1003.9000244140624,1006.9500122070312,981.2999877929688,981.2999877929688,19494356,0.023030711201702078,998.1142839704241,6.625312799745778,-4.322241679575571,,
2025-11-27,1009.5,1016.7999877929688,1001.0,1002.0999755859376,25536848,0.007384517108420764,1000.5499965122768,7.296006943957455,-6.557555233115378,,
2025-11-28,1007.5999755859376,1012.0499877929688,1004.2000122070312,1007.0,15988807,0.0005958049512786631,1002.4071393694196,7.182697992745888,-7.123117497618022,,
2025-12-01,1002.0999755859376,1017.5,999.2999877929688,1017.5,16746566,-0.015135159129299643,1001.442853655134,6.603309589838955,-8.116825502768918,,
2025-12-02,989.7999877929688,994.4000244140624,985.0,988.0,27316662,0.0018218499928833501,1000.2642822265625,7.91563597861395,-7.733450979325615,,
2025-12-03,1000.5,1002.2999877929688,986.0,986.0,15448777,0.014705882352941176,1000.4571358816964,7.90039452965771,-6.429806294363592,,
2025-12-04,997.2000122070312,1004.7000122070312,993.0,1000.0,14528169,-0.00279998779296875,1001.5142822265625,6.6295870011037,-6.909585780400575,,
2025-12-05,1003.2999877929688,1008.0,990.2000122070312,992.0,12843366,0.011391116726783014,1001.4285627092634,6.597399570618391,-5.45828789794009,,
2025-12-08,1003.0999755859376,1006.5,997.5,1000.0,12901022,0.0030999755859376136,1000.5142735072544,5.670804387651185,-5.360806829057424,,
2025-12-09,997.0999755859376,1002.7999877929688,994.0,994.9000244140624,15294322,0.002211228382641632,999.0142735072544,4.8070848887463145,-4.585962050482151,,
2025-12-10,989.7999877929688,998.5,985.2999877929688,997.5,15322830,-0.007719310483239349,997.2571323939732,5.662995091349593,-6.434926139673528,,
2025-12-11,1000.2999877929688,1002.7000122070312,988.5,990.0,11844809,0.010404028073705808,998.7571323939732,4.660419219462321,-3.6200164120917404,,
2025-12-12,1001.5,1004.7000122070312,998.2000122070312,1003.0,11988618,-0.0014955134596211367,998.8999895368304,4.737438159244564,-4.886989505206678,,
2025-12-15,996.0999755859376,1001.7999877929688,992.0,992.0,9790060,0.004133039905179046,998.7428414481027,4.820740061215132,-4.407436070697227,,
2025-12-16,994.2999877929688,998.7000122070312,990.0999755859376,990.0999755859376,20049088,0.004242008191693555,997.4571271623884,4.5977738390045895,-4.173573019835234,,
2025-12-17,984.0,996.0,980.7999877929688,996.0,19080922,-0.012048192771084338,994.7285592215402,6.109747645178402,-7.3145669222868355,,
2025-12-18,979.7000122070312,987.4000244140624,973.2999877929688,973.2999877929688,14912404,0.006575592822696976,992.2428501674107,8.174721820018116,-7.517162537748418,,
2025-12-19,985.5,988.0,978.7000122070312,987.0,25952384,-0.001519756838905775,991.6285661969866,8.542184529669294,-8.694160213559872,,
2025-12-22,987.7000122070312,992.9000244140624,983.9000244140624,988.0,13540411,-0.0003036313694015688,989.8285696847098,7.696033297320536,-7.726396434260693,,
2025-12-23,996.5999755859376,998.9000244140624,987.7000122070312,990.5,17927849,0.006158481156928434,989.1285661969866,6.602691233826989,-5.9868431181341455,,
2025-12-24,997.2000122070312,999.4000244140624,993.0,993.0,13699996,0.0042296195438381165,989.2857142857143,6.8062227942242925,-6.383260839840481,,
2025-12-26,992.0999755859376,997.2000122070312,987.7000122070312,996.0,9360853,-0.003915687162713239,988.9714268275669,6.583232538852658,-6.974801255123982,,
2025-12-29,991.7000122070312,997.4000244140624,987.2000122070312,993.0999755859376,13545749,-0.0014096902762286074,990.0714285714286,6.248916847200155,-6.389885874823015,,
2025-12-30,990.9000244140624,995.0,982.2000122070312,990.2000122070312,33155849,0.0007069402124838366,991.6714303152902,4.271885321173523,-4.201191299925139,,
2025-12-31,991.2000122070312,997.5999755859376,987.5999755859376,991.0,10963454,0.0002018286650163976,992.4857177734375,3.341363484876191,-3.321180618374551,,
2026-01-01,991.1500244140624,997.5499877929688,989.5,993.5,7132074,-0.0023653503632990575,992.9785766601562,2.7132081083349076,-2.9497431446648132,,
2026-01-02,1001.5999755859376,1003.2000122070312,988.7999877929688,991.1500244140624,11751459,0.010543258754448318,993.6928623744419,4.1192950473187295,-3.064969171873898,,
2026-01-05,977.5,1006.4000244140624,976.2999877929688,1005.75,27647379,-0.0280884911757395,990.8785749162946,7.027075550694251,-9.835924668268202,,
2026-01-06,962.2000122070312,966.7000122070312,956.0,962.7000122070312,31988783,-0.0005193725913160928,986.6071515764509,12.842192717803448,-12.894129976935057,,
2026-01-07,949.0499877929688,956.4500122070312,946.0,956.0,52884712,-0.007269887245848588,980.5142909458706,18.771761372774364,-19.498750097359224,,
2026-01-08,946.7000122070312,953.0,941.4000244140624,944.7000122070312,21928849,0.002117074176094855,974.2000034877232,21.873593495526016,-21.66188607791653,,
2026-01-09,939.0,950.5999755859376,933.2999877929688,945.0,38183839,-0.006349206349206349,966.7428588867188,23.91478435446118,-24.549704989381816,,
2026-01-12,936.9500122070312,942.0,929.5999755859376,937.5,21071666,-0.0005866536458333333,959.0,23.465373078734064,-23.524038443317398,,
2026-01-13,937.3499755859376,947.7000122070312,932.5999755859376,947.7000122070312,32042827,-0.010921216089245553,949.8214285714286,15.099585122702392,-16.191706731626947,,
2026-01-14,925.4500122070312,940.0499877929688,920.2000122070312,930.0,36688248,-0.004892459992439516,942.3857160295759,11.610474419759027,-12.09972041900298,,
2026-01-15,925.4500122070312,925.4500122070312,925.4500122070312,925.4500122070312,0,0.0,937.1357160295759,9.22038437799935,-9.22038437799935,,
2026-01-16,931.0999755859376,935.9500122070312,919.2000122070312,922.0,37780235,0.009869821676721924,934.5714285714287,7.730289217780993,-6.7433070501088,,
2026-01-19,927.9000244140624,936.1500244140624,919.5,935.9000244140624,38191942,-0.008547921563532974,931.8857160295759,5.851751272996814,-6.706543429350111,,
2026-01-20,931.2000122070312,934.5,919.5999755859376,929.2999877929688,36022727,0.0020445759593465,930.7714320591518,4.9434082325074415,-4.738950636572792,,
