Date,Close,High,Low,Open,Volume,Daily Return,MA7,Volatility,Sentiment,52W High,52W Low
2025-10-01,1424.000244140625,1427.6444073679877,1405.877655696216,1424.197180444367,6250692,-0.000138278818724036,,,,,
2025-10-03,1424.7880859375,1426.4625254104503,1411.5901076030302,1417.3027030735375,6877533,0.005281428482235902,,,,,
2025-10-06,1453.744873046875,1456.5027027407557,1420.5530497148677,1424.7881421800753,4630590,0.02032353443263002,,,,,
2025-10-07,1436.5086669921875,1460.5407866669368,1432.0765182081868,1455.4191203786977,5570320,-0.01299313243980863,,,,,
2025-10-08,1472.4583740234375,1475.4131399913774,1433.061494450904,1435.0313384295307,4657192,0.026080988332189445,,,,,
2025-10-09,1486.5428466796875,1491.171932062491,1464.5790376333712,1479.352867871771,7028753,0.004860218926847515,,,,,
2025-10-10,1492.058349609375,1498.755747016607,1476.2011295853697,1487.2322078030077,3738353,0.0032450492808360305,1455.7287772042412,28.53827493388558,-28.21377000580198,,
2025-10-13,1470.6854248046875,1482.0120273618204,1461.0332617199265,1474.4281763502415,5859355,-0.0025384427709586586,1462.3980887276787,25.14041335151642,-25.394257628612284,,
2025-10-14,1467.435302734375,1491.5658915845438,1464.0865439092208,1476.3980688327763,5600789,-0.006070697522306536,1468.4905482700892,18.90007527785397,-19.507145030084622,,
2025-10-15,1452.1690673828125,1466.154912139115,1445.373081319078,1461.5258266826634,6986098,-0.00640204855023918,1468.2654331752233,19.113163596393232,-19.75336845141715,,
2025-10-16,1449.312744140625,1452.267510183725,1438.478601982591,1451.6765810210527,8005748,-0.001628349531384647,1470.0945870535713,15.912100908000799,-16.074935861139263,,
2025-10-17,1419.37109375,1436.410292725158,1412.3781714796953,1432.9630656678503,16959378,-0.009485221387416276,1462.5106898716517,24.77850728842586,-25.727029427167487,,
2025-10-20,1438.87255859375,1444.8805586841174,1428.136884861602,1431.781048131079,6994246,0.004952929410490313,1455.700648716518,23.595291219430532,-23.099998278381502,,
2025-10-21,1450.19921875,1463.5941342911035,1447.8353818357486,1455.7147580634262,1698704,-0.0037888874059116145,1449.7207728794642,17.313277749819708,-17.69216649041087,,
2025-10-23,1505.4532470703125,1522.6893817276436,1483.292502510887,1487.232190432563,20358624,0.01225165562913884,1454.6876046316963,26.746973798161772,-25.52180823524789,,
2025-10-24,1502.4000244140625,1519.7346273554492,1495.111577657532,1516.2874003977408,8652257,-0.009158801939550187,1459.6825648716517,32.2276471479014,-33.14352734185642,,
2025-10-27,1504.5,1515.300048828125,1498.0999755859375,1510.0,7273211,-0.003642384105960265,1467.158412388393,36.0385423735287,-36.40278078412472,,
2025-10-28,1500.199951171875,1506.5,1490.5,1499.699951171875,8211019,0.0003334000241910369,1474.428013392857,36.959448356890434,-36.92610835447133,,
2025-10-29,1510.4000244140625,1520.199951171875,1496.9000244140625,1500.199951171875,4884976,0.006799142497118304,1487.4321463448662,29.65067114639184,-28.970756896680008,,
2025-10-30,1493.800048828125,1508.199951171875,1489.0999755859375,1507.0,5608867,-0.00875909168671201,1495.2789306640625,20.52025928606015,-21.39616845473135,,
2025-10-31,1482.300048828125,1497.0999755859375,1480.699951171875,1490.0,4819814,-0.005167752464345638,1499.8647635323662,9.2695572780569,-9.786332524491465,,
2025-11-03,1485.5,1491.4000244140625,1474.199951171875,1482.300048828125,5470600,0.0021587742470930995,1497.0142996651787,10.277705856748009,-10.061828432038698,,
2025-11-04,1467.9000244140625,1481.9000244140625,1462.9000244140625,1479.699951171875,8691330,-0.007974540208957454,1492.085728236607,14.619545729994103,-15.416999750889849,,
2025-11-06,1466.699951171875,1483.0,1461.9000244140625,1478.5999755859375,7944752,-0.008048170303361987,1486.6857212611608,16.168847158085633,-16.973664188421832,,
2025-11-07,1476.800048828125,1480.9000244140625,1449.0999755859375,1470.0,8765759,0.004625883556547619,1483.3428780691963,15.305007980289998,-14.842419624635237,,
2025-11-10,1513.5,1520.0,1490.0,1490.0999755859375,9787975,0.015703660692203646,1483.7857317243304,16.234991094152313,-14.664625024931949,,
2025-11-11,1530.300048828125,1533.4000244140625,1511.0999755859375,1525.0,13692989,0.0034754418545081965,1489.0000174386162,23.99452484411369,-23.646980658662873,,
2025-11-12,1551.699951171875,1559.199951171875,1538.0999755859375,1540.0,14635417,0.007597370890827922,1498.9142892020088,33.29856341634281,-32.53882632726002,,
2025-11-13,1541.800048828125,1557.5,1530.300048828125,1557.0999755859375,19655689,-0.009825911629120108,1506.9571533203125,36.19207448896446,-37.17466565187647,,
2025-11-14,1502.800048828125,1530.0,1488.800048828125,1520.0,9739549,-0.011315757349917762,1511.94287109375,32.08586932548702,-33.217445060478795,,
2025-11-17,1507.5999755859375,1510.199951171875,1492.5,1496.0,7910354,0.007753994375626671,1517.7857317243304,25.527709970830927,-24.752310533268258,,
2025-11-18,1486.4000244140625,1506.0,1483.199951171875,1506.0,7525119,-0.013014592022534861,1519.1571568080358,23.10142359143382,-24.402882793687308,,
2025-11-19,1541.0999755859375,1543.0,1490.5,1490.5,10981126,0.03394832310361456,1523.1000104631696,24.299231263058417,-20.904398952696962,,
2025-11-20,1536.5,1555.0,1534.0,1555.0,7387584,-0.011897106109324759,1523.9857177734375,24.714852703410475,-25.90456331434295,,
2025-11-21,1545.0,1551.5,1526.300048828125,1531.0,9186302,0.009144350097975179,1523.0285818917412,23.565696205395707,-22.651261195598188,,
2025-11-24,1548.0,1585.0,1541.0,1563.5999755859375,19270381,-0.009976960750521645,1523.9142892020088,24.48729138140668,-25.484987456458846,,
2025-11-25,1530.5999755859375,1550.5999755859375,1525.9000244140625,1549.0,8107952,-0.011878647136257263,1527.885707310268,22.67982494976263,-23.867689663388354,,
2025-11-26,1557.9000244140625,1560.300048828125,1532.0999755859375,1532.0999755859375,7575038,0.016839664016219315,1535.0714285714287,23.14502447548597,-21.46105807386404,,
2025-11-27,1566.4000244140625,1574.300048828125,1552.199951171875,1564.0,7552252,0.001534542464234335,1546.5,12.331819062629227,-12.178364816205795,,
2025-11-28,1560.0999755859375,1568.4000244140625,1557.0,1565.0,4453221,-0.0031310060153753993,1549.2142857142858,13.017105490179041,-13.330206091716581,,
2025-12-01,1564.0,1574.0,1556.0,1562.5,5341800,0.00096,1553.142857142857,12.685942242519115,-12.589942242519115,,
2025-12-02,1561.0,1579.9000244140625,1556.0999755859375,1567.0,6335969,-0.0038289725590299937,1555.4285714285713,12.4127349010353,-12.7956321569383,,
2025-12-03,1578.699951171875,1586.0,1554.0999755859375,1555.0999755859375,12895312,0.015175857473115447,1559.8142787388392,14.584171601137093,-13.066585853825549,,
2025-12-04,1597.5999755859375,1599.0,1568.0,1568.0,12609619,0.01887753545021524,1569.385707310268,14.196161634832464,-12.30840808981094,,
2025-12-05,1616.199951171875,1631.800048828125,1600.0,1610.0,10344725,0.003850901348990683,1577.7142682756696,21.53788930170315,-21.15279916680408,,
2025-12-08,1610.800048828125,1630.0,1600.199951171875,1617.0999755859375,7550413,-0.0038958177310773837,1584.05712890625,24.04273156689615,-24.43231334000389,,
2025-12-09,1599.0,1606.9000244140625,1582.4000244140625,1601.199951171875,6957599,-0.0013739390700486314,1589.6142752511162,21.990485518402807,-22.12787942540767,,
2025-12-10,1584.800048828125,1608.0,1582.800048828125,1608.0,5116140,-0.014427830330768035,1592.5857107979912,19.17797519272956,-20.620758225806362,,
2025-12-11,1598.0,1607.4000244140625,1580.5,1598.0,5159319,0.0,1597.8714250837054,13.183666455977669,-13.183666455977669,,
2025-12-12,1598.199951171875,1601.800048828125,1582.5999755859375,1601.4000244140625,4633912,-0.0019982972357942717,1600.6571393694196,10.174276847373145,-10.374106570952572,,
2025-12-15,1606.800048828125,1610.800048828125,1585.0,1585.0,4190558,0.013753974024053628,1601.971435546875,10.306898347920793,-8.931500945515431,,
2025-12-16,1592.9000244140625,1603.0,1585.5999755859375,1600.0,5499258,-0.0044374847412109375,1598.6428745814733,8.560349853376028,-9.004098327497122,,
2025-12-17,1602.0,1606.9000244140625,1586.0,1587.199951171875,4817628,0.009324627824741112,1597.3857247488838,6.977200527126491,-6.044737744652379,,
2025-12-18,1626.800048828125,1630.0,1606.699951171875,1610.5,6577293,0.01012111072842285,1601.3571602957588,13.192664865407233,-12.180553792564947,,
2025-12-19,1638.699951171875,1654.9000244140625,1629.800048828125,1650.0,13149023,-0.006848514441287879,1609.0571463448662,17.076279999247088,-17.761131443375877,,
2025-12-22,1689.5999755859375,1693.199951171875,1664.0,1664.0,23098923,0.015384600712702824,1622.142857142857,33.95053288467366,-32.412072813403384,,
2025-12-23,1668.300048828125,1679.0,1656.4000244140625,1679.0,6593060,-0.006372811895101251,1632.1571568080358,35.98854519697193,-36.62582638648205,,
2025-12-24,1663.4000244140625,1667.5999755859375,1652.5,1661.0,4271167,0.00144492740160295,1640.2428676060267,35.699054912206485,-35.55456217204619,,
2025-12-26,1656.0999755859375,1668.800048828125,1651.699951171875,1663.4000244140625,2006491,-0.004388630949248942,1649.2714320591517,29.114811148125906,-29.5536742430508,,
2025-12-29,1644.699951171875,1673.0999755859375,1637.0999755859375,1658.0,4062817,-0.008021742357132086,1655.3714250837054,20.86414034265734,-21.66631457837055,,
2025-12-30,1621.5999755859375,1647.9000244140625,1616.800048828125,1647.0,9395937,-0.015421994179758652,1654.6285574776787,22.106554109246925,-23.64875352722279,,
2025-12-31,1615.4000244140625,1628.5999755859375,1609.199951171875,1621.0,6538656,-0.003454642557641888,1651.2999965122767,26.267218125404845,-26.612682381169034,,
2026-01-01,1629.800048828125,1639.5999755859375,1614.0999755859375,1615.4000244140625,3658165,0.008914215795734974,1642.7571498325892,20.913704581428526,-20.02228300185503,,
